display  D   display_settings.c:191  debug_display_settings           [   0.09766] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09770] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09773] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09776] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09779] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09783] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09786] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09790] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09793] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09796] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09799] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09803] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09806] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09810] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09813] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09819] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09823] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09828] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09831] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09835] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09838] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09841] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09844] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09848] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09851] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09854] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09857] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09861] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09864] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09868] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09871] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09874] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09877] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09881] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09884] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09887] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09890] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09894] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09897] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09900] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09903] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09914] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09923] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09926] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09929] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09932] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09936] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09939] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09943] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09946] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09949] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09952] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09956] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09959] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09962] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09965] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
